24,Motorcycle,Bajaj,Avenger,Street 150,,150,10.6,12.5,2177,801,1070,169,"1,99,500",Telescopic,Twin Shock Absorbers,90/90 � 17_ 49P,130/90 � 15_ 66P,240mm Disc,130mm Drum,,,,,
25,Motorcycle,Bajaj,Pulsar,150 CC,,149,11.1,12.5,,,,,"1,72,500",Telescopic,Nitrox shock absorber,90/90 x 17 � Tube,100/90 x 17 � Tube,240mm Disc,130mm Drum,,,,,
26,Motorcycle,Bajaj,Pulsar,150 2017 Edition,,149,10.4,13.4,2055,755,1060,165,"1,72,500",Telescopic,Nitrox shock absorber,90/90 x 17 � Tube,100/90 x 17 � Tube,240mm Disc,130mm Drum,,,,,
27,Motorcycle,Bajaj,Pulsar,135 CC,,134.7,10,11.4,1995,765,1045,165,,Telescopic,Nitrox shock absorber,2.75 � 17,100 / 90 � 17,240mm Disc,130mm Drum,,,,,
28,Motorcycle,Bajaj,Discover,150F,,144.8,10.7,12.7,2038,714,1070,165,"1,77,000",Telescopic,Mono Shock,"80/100-17, tubeless","100/90-17, tubeless",240m Petal Disc,130mm Drum,,,,,
29,Motorcycle,Bajaj,Discover,150 CC,,144.8,9.5,12.7,2030,760,1065,165,,Telescopic,Nitrox shock absorber,2.75 � 17,"100/90-17, tubeless",240mm Disc,130mm Drum,,,,,
30,Motorcycle,Bajaj,Discover,135 CC,,134.2,9.6,11.9,2030,760,1065,179,,Telescopic,Hydraulic,2.75 � 17,"100/90-17, tubeless",240mm Disc,130mm Drum,,,,,
31,Motorcycle,Bajaj,Discover,125 ST,55,124.6,9.5,11,,,,170,,Telescopic,Nitrox shock absorber,2.75_17_,3.00_17_,240m Petal Disc,130mm Drum,,,,,
32,Motorcycle,Bajaj,Discover,125 CC,65,124.5,8.2,10.8,2030,760,1065,175,"1,33,500",Telescopic,Nitrox shock absorber,100/90 x 17 mm,100/90 x 17 mm,240mm Disc,130mm Drum,,,,,
33,Motorcycle,Bajaj,Discover,100 CC,,94.4,5.7,7.8,2040,760,1087,162,"1,26,000",Telescopic,Nitrox shock absorber,2.75 X 17_,3.00 X 17_,130mm Drum,110mm Drum,,,,,
34,Motorcycle,Bajaj,Platina,ES,,102,6,8.6,2000,840,1060,190,"1,08,500",Telescopic,Hydraulic,"2.75*17_, 41 P","3.00*17_, 50 P",110mm Drum,110mm Drum,,,,,
35,Motorcycle,Bajaj,Platina,100 CC,,99.3,6.1,8.1,1990,,1090,,"1,03,500",Telescopic,Hydraulic,"2.75*17_, 41 P","3.00*17_, 50 P",Drum,Drum,,,,,
36,Motorcycle,Bajaj,CT,100 CC,,99.3,6.1,8.1,1945,770,1065,150,"91,500",,,,,,,,,,,
