40,SUV,BMW,X5,xDrive40e,,,1997,241,4886,2184,1762,,5,,,Petrol,Executive Motors Ltd.,,,,,,,,
41,SUV,BMW,X5,xDrive35i,,,2979,302,4886,2184,1762,,5,,,Petrol,Executive Motors Ltd.,,,,,,,,
42,SUV,BMW,X5,xDrive50i,,,4395,450,4886,2184,1762,,5,,,Petrol,Executive Motors Ltd.,,,,,,,,
43,SUV,BMW,X5,sDrive25d,,,1995,231,4886,2184,1762,,5,,,Diesel,Executive Motors Ltd.,,,,,,,,
44,SUV,BMW,X5,xDrive25d,,,1995,231,4886,2184,1762,,5,,,Diesel,Executive Motors Ltd.,,,,,,,,
45,SUV,BMW,X5,xDrive30d,,,2993,258,4886,2184,1762,,5,,,Diesel,Executive Motors Ltd.,,,,,,,,
46,SUV,BMW,X5,xDrive40d,,,2993,313,4886,2184,1762,,5,,,Diesel,Executive Motors Ltd.,,,,,,,,
47,SUV,BMW,X5,M50d,,,2993,313,4886,2184,1762,,5,,,Diesel,Executive Motors Ltd.,,,,,,,,
48,Sedan,Mercedes-Benz,B Class,1.6L,,,1595,120,,,,,,70,,,Rancon Motors Ltd.,,,,,,,,
49,Sedan,Mercedes-Benz,C Class,C160,,17,1595,129,4686,2020,1442,,5,75,RWD,Petrol,Rancon Motors Ltd.,,,,,,,,
50,Sedan,Mercedes-Benz,E Class,E180,,15,1595,154,4923,2065,1468,,5,,RWD,Petrol,Rancon Motors Ltd.,,,,,,,,
51,Sedan,Mercedes-Benz,E Class,E200,,14,1991,181,4923,2065,1468,,5,,RWD,Petrol,Rancon Motors Ltd.,,,,,,,,
52,Sedan,Mercedes-Benz,CLA,CLA 45 AMG,,13,1991,381,4640,2032,1432,,5,,AWD,Petrol,Rancon Motors Ltd.,,,,,,,,
53,Sedan,Mercedes-Benz,S Class,S 300 H,,,,,,,,,,,,,Rancon Motors Ltd.,,,,,,,,
54,SUV,Mercedes-Benz,G Class,G 350 BlueTEC,,9,2987,207,4662,2056,1954,,,,AWD,Diesel,Rancon Motors Ltd.,,,,,,,,
55,SUV,Mercedes-Benz,G Class,G 500,,3,3982,415,4662,2056,1954,,,,AWD,Petrol,Rancon Motors Ltd.,,,,,,,,
56,SUV,Mercedes-Benz,GLA,180,,16,1595,122,4417,2022,1494,,,,,Petrol,Rancon Motors Ltd.,,,,,,,,
57,SUV,Mercedes-Benz,GLA,200,,16,1595,156,4417,2022,1494,,,,,Petrol,Rancon Motors Ltd.,,,,,,,,
58,SUV,Mercedes-Benz,GLA,250,,15,1991,211,4417,2022,1494,,,,,Petrol,Rancon Motors Ltd.,,,,,,,,
